passport,reachable_gdp_share_pct,own_gdp_share_pct,reach_to_own_ratio,name
GUY,20.42,0.03898736726590868,523.8,Guyana
HKG,71.54,0.2872919249669772,249.0,Hong Kong
HND,38.26,0.04126721269741143,927.1,Honduras
HRV,84.12,0.0940728476301403,894.2,Croatia
HTI,9.29,0.01777364954062633,522.7,Haiti
HUN,83.98,0.22588028626442594,371.8,Hungary
IDN,18.36,2.40366923505112,7.6,Indonesia
IND,8.13,8.192352194577971,1.0,India
IRL,83.05,0.4051867723605826,205.0,Ireland
IRN,4.84,0.8672627242163291,5.6,Iran
IRQ,2.55,0.319567671904346,8.0,Iraq
ISL,83.29,0.015595833202808974,5340.5,Iceland
ISR,57.3,0.2879685392624905,199.0,Israel
ITA,82.49,1.7626022587663488,46.8,Italy
JAM,22.34,0.017963198558247642,1243.7,Jamaica
JOR,13.27,0.06932410254099212,191.4,Jordan
JPN,89.46,3.257061182065997,27.5,Japan
KAZ,44.12,0.43980724376799724,100.3,Kazakhstan
KEN,7.99,0.19228499547594727,41.6,Kenya
KGZ,14.3,0.03225016638535953,443.4,Kyrgyzstan
KHM,11.45,0.07263245035950558,157.6,Cambodia
KIR,26.63,0.0002559550777817269,104041.7,Kiribati
KNA,39.1,0.0008220581029374861,47563.5,Saint Kitts and Nevis
KOR,94.61,1.5542048587580743,60.9,South Korea
KWT,41.25,0.13087489657066306,315.2,Kuwait
LAO,14.82,0.03894145743945935,380.6,Laos
LBN,5.61,0.03296128510917198,170.2,Lebanon
LBR,5.76,0.00540876212363371,1064.9,Liberia
LBY,3.62,0.05870135623021594,61.7,Libya
LCA,33.9,0.0024607322900978418,13776.4,Saint Lucia
LIE,83.14,0.003620430290259721,22964.1,Liechtenstein
LKA,3.16,0.1768612541102738,17.9,Sri Lanka
LSO,11.83,0.003584751856980381,3300.1,Lesotho
LTU,63.6,0.07821633725894524,813.1,Lithuania
LUX,84.2,0.05122895038523604,1643.6,Luxembourg
LVA,83.29,0.04061107282652626,2050.9,Latvia
MAC,64.24,0.04477392942311977,1434.8,Macao
MAR,15.41,0.20660679130243073,74.6,Morocco
MCO,83.27,0.00428735165951809,19422.2,Monaco
MDA,30.19,0.022485029699423294,1342.7,Moldova
MDG,6.81,0.030452419904256414,223.6,Madagascar
MDV,48.78,0.007205057542604288,6770.2,Maldives
MEX,39.03,1.6259855383020487,24.0,Mexico
MHL,44.22,0.0001549370457290075,285406.2,Marshall Islands
MKD,52.95,0.024312841866781478,2177.9,North Macedonia
MLI,6.06,0.04204722750357039,144.1,Mali
MLT,83.4,0.019941245477208814,4182.3,Malta
MMR,9.06,0.15707741098924982,57.7,Myanmar
MNE,57.79,0.010514909701854898,5496.0,Montenegro
MNG,41.11,0.035359583485619926,1162.6,Mongolia
MOZ,8.15,0.02882074394528811,282.8,Mozambique
MRT,6.09,0.019434035123153205,313.4,Mauritania
MUS,58.92,0.01994694405255635,2953.8,Mauritius
MWI,6.98,0.020100482034876407,347.3,Malawi
MYS,67.26,0.711222390294452,94.6,Malaysia
NAM,13.56,0.017658947276698343,767.9,Namibia
NER,6.31,0.028955868748578768,217.9,Niger
NGA,1.99,1.0785177784668243,1.8,Nigeria
NIC,36.15,0.030991411627468275,1166.5,Nicaragua
NLD,83.5,0.7523896224389313,111.0,Netherlands
NOR,83.97,0.27809453350094504,301.9,Norway
NPL,14.01,0.08712688735182615,160.8,Nepal
NRU,14.23,8.13457587408361e-05,174932.3,Nauru
NZL,83.23,0.14547149797271344,572.1,New Zealand
OMN,44.63,0.11070843452154208,403.1,Oman
PAK,1.05,0.7991929962285274,1.3,Pakistan
PAN,45.58,0.09560083716761039,476.8,Panama
PER,63.58,0.3099270034569895,205.1,Peru
PHL,13.51,0.6997091639830031,19.3,Philippines
PLW,47.03,0.00019396064706845903,242471.9,Palau
PNG,14.94,0.02673668552729173,558.8,Papua New Guinea
POL,83.27,0.9418346518563631,88.4,Poland
PRK,4.19,0.02096038589097733,199.9,North Korea
PRT,83.1,0.27354864934407175,303.8,Portugal
PRY,43.52,0.06742284582060024,645.5,Paraguay
PSE,6.07,0.01289369868193162,470.8,Palestine
QAT,68.35,0.18248292520871626,374.6,Qatar
ROU,69.09,0.4611467084330433,149.8,Romania
RUS,45.4,3.446816545774923,13.2,Russia
RWA,7.93,0.028902989226421996,274.4,Rwanda
SAU,40.29,1.2995632493703053,31.0,Saudi Arabia
SDN,3.78,0.05395274529684595,70.1,Sudan
SEN,6.78,0.04927094212484397,137.6,Senegal
SGP,83.98,0.4755553428690463,176.6,Singapore
SLB,48.42,0.0011136732699296174,43477.7,Solomon Islands
SLE,5.71,0.01561655471749018,365.6,Sierra Leone
SLV,38.67,0.042759705303432205,904.4,El Salvador
SMR,82.64,0.0012712083598831342,65009.0,San Marino
SOM,2.81,0.015381217986635356,182.7,Somalia
SRB,60.08,0.10579272265546702,567.9,Serbia
SSD,5.64,0.006110893932159178,922.9,South Sudan
STP,8.02,0.0007311636401086737,10968.8,Sao Tome and Principe
SUR,42.05,0.00690460602390721,6090.1,Suriname
SVK,84.08,0.12716671232229088,661.2,Slovakia
SVN,84.15,0.06014184909927364,1399.2,Slovenia
SWE,83.88,0.3661212906148574,229.1,Sweden
SWZ,9.06,0.007497604038273004,1208.4,Swaziland
SYC,62.04,0.0020962124060806497,29596.2,Seychelles
SYR,2.25,0.05248689494541437,42.9,Syria
TCD,6.64,0.02904361941135054,228.6,Chad
TGO,6.83,0.01669607531811692,409.1,Togo
THA,45.7,0.8955927893039404,51.0,Thailand
TJK,10.69,0.030437774439069035,351.2,Tajikistan
TKM,4.56,0.08203026392226595,55.6,Turkmenistan
TLS,23.66,0.003249976223610624,7280.1,Timor-Leste
TON,46.62,0.0004287012019427778,108747.1,Tonga
TTO,33.77,0.02418687898989575,1396.2,Trinidad and Tobago
TUN,18.19,0.08961129270906917,203.0,Tunisia
TUR,27.2,1.8527594116446566,14.7,Turkey
TUV,27.3,3.0563615438668424e-05,893218.9,Tuvalu
TWN,70.73,0.8908164003665366,79.4,Taiwan
TZA,8.97,0.14557807498031197,61.6,Tanzania
UGA,5.85,0.08537307645059942,68.5,Uganda
UKR,39.59,0.3289094205552468,120.4,Ukraine
URY,63.73,0.061777848347946536,1031.6,Uruguay
USA,45.39,14.657836039763755,3.1,United States
UZB,35.0,0.24007953803766918,145.8,Uzbekistan
VAT,40.75,1.953126867113797e-05,2086398.0,Vatican
VCT,39.12,0.0010852750937320396,36046.2,Saint Vincent and the Grenadines
VEN,36.14,0.037218432152155444,971.0,Venezuela
VNM,9.44,0.8754601075365761,10.8,Vietnam
VUT,11.83,0.0007225230698085168,16373.2,Vanuatu
WSM,51.9,0.0009735638834309985,53309.3,Samoa
XKX,22.83,0.014470230028378262,1577.7,Kosovo
YEM,2.65,0.04418621100942879,60.0,Yemen
ZAF,21.48,0.4905921709406126,43.8,South Africa
ZMB,6.55,0.04571583093737387,143.3,Zambia
ZWE,6.59,0.05224790504524242,126.1,Zimbabwe
