passport,rank_binary_henley,score_binary_henley,rank_graded,score_graded,rank_strict,score_strict,rank_spread
DEU,12.0,167.8,14.5,167.2,13.0,130.2,2.5
DJI,175.5,38.9,172.5,53.1,176.0,15.5,3.5
DMA,71.0,127.2,70.0,135.8,64.0,102.7,7.0
DNK,12.0,167.8,9.0,167.4,14.0,129.6,5.0
DOM,122.0,63.6,121.0,72.8,138.0,31.3,17.0
DZA,154.5,45.7,157.0,58.3,169.0,18.1,14.5
ECU,101.5,82.5,105.0,87.6,108.0,47.2,6.5
EGY,170.5,40.3,170.0,54.3,172.0,17.0,2.0
ERI,191.0,30.2,188.5,46.4,191.0,10.2,2.5
ESP,5.0,168.5,3.5,168.1,10.5,130.3,7.0
EST,28.5,165.9,27.0,166.1,29.5,126.9,2.5
ETH,181.0,35.2,181.0,49.0,190.0,10.4,9.0
FIN,6.5,167.9,6.5,167.5,8.0,130.4,1.5
FJI,110.5,75.7,107.0,85.7,107.0,49.1,3.5
FRA,12.0,167.8,12.0,167.3,4.5,131.0,7.5
FSM,93.0,108.3,92.0,119.3,91.0,78.5,2.0
GAB,148.0,48.1,149.5,60.4,153.0,24.3,5.0
GBR,38.0,163.7,39.0,163.2,34.0,125.4,5.0
GEO,72.0,125.5,76.0,130.8,76.0,90.7,4.0
GHA,138.0,53.3,136.5,65.8,125.5,35.6,12.5
GIN,154.5,45.7,154.0,58.7,152.0,24.4,2.5
GMB,136.0,54.7,134.0,66.2,123.5,36.5,12.5
GNB,169.0,40.7,168.5,54.6,159.0,22.5,10.0
GNQ,156.0,45.5,158.5,57.4,163.0,20.6,7.0
GRC,24.0,166.7,24.5,166.7,19.0,128.5,5.5
GRD,66.0,132.9,66.0,139.9,59.0,105.3,7.0
GTM,77.0,121.7,75.0,131.4,80.0,89.9,5.0
GUY,107.0,77.6,106.0,86.3,106.0,50.6,1.0
HKG,42.0,161.1,42.0,161.1,32.0,126.4,10.0
HND,79.5,121.0,79.0,130.0,81.0,89.8,2.0
HRV,20.5,167.0,21.0,166.8,21.0,128.2,0.5
HTI,168.0,40.9,172.5,53.1,184.0,12.8,16.0
HUN,20.5,167.0,21.0,166.8,24.0,128.0,3.5
IDN,112.0,71.8,113.0,80.2,112.0,42.8,1.0
IND,150.0,47.6,143.0,62.1,155.0,23.7,12.0
IRL,17.0,167.3,17.0,167.0,25.5,127.9,8.5
IRN,184.0,34.1,185.5,47.4,185.0,12.4,1.5
IRQ,196.0,24.0,196.0,39.9,196.0,7.2,0.0
ISL,37.0,163.8,37.0,164.1,39.5,122.5,2.5
ISR,51.0,145.6,50.0,149.5,47.0,115.3,4.0
ITA,12.0,167.8,14.5,167.2,10.5,130.3,4.0
JAM,106.0,78.6,102.0,88.1,102.0,53.1,4.0
JOR,161.0,44.4,161.5,57.2,164.0,20.3,3.0
JPN,3.5,170.0,12.0,167.3,35.5,125.2,32.0
KAZ,110.5,75.7,112.0,80.7,114.0,42.2,3.5
KEN,132.5,56.1,132.0,66.6,136.0,32.8,4.0
KGZ,134.0,55.3,135.0,66.1,146.0,25.7,12.0
KHM,158.0,45.2,153.0,59.3,166.5,19.8,13.5
KIR,87.0,114.9,84.0,125.8,84.0,87.5,3.0
KNA,56.0,140.6,55.0,146.2,52.0,111.5,4.0
KOR,2.0,171.2,3.5,168.1,35.5,125.2,33.5
KWT,96.0,90.8,98.0,94.3,98.0,57.7,2.0
LAO,167.0,41.3,165.5,55.8,168.0,19.7,2.5
LBN,178.0,37.5,180.0,50.5,177.5,15.3,2.5
LBR,175.5,38.9,175.0,52.6,160.0,22.2,15.5
LBY,185.0,33.9,185.5,47.4,186.0,12.0,1.0
LCA,69.0,128.9,69.0,136.9,67.0,100.5,2.0
LIE,36.0,164.4,38.0,163.9,41.0,122.4,5.0
LKA,186.0,32.1,187.0,47.3,179.0,15.2,8.0
LSO,124.0,62.4,126.0,71.1,118.0,38.4,8.0
LTU,34.5,164.6,34.0,164.8,33.0,125.6,1.5
LUX,6.5,167.9,5.0,167.6,7.0,130.5,2.0
LVA,28.5,165.9,28.0,166.0,29.5,126.9,1.5
MAC,60.0,137.5,62.0,141.7,60.0,105.2,2.0
MAR,123.0,62.5,122.5,72.6,119.0,38.1,4.0
MCO,41.0,161.9,41.0,161.7,44.0,118.7,3.0
MDA,88.5,114.1,90.0,121.7,89.0,83.1,1.5
MDG,144.5,49.7,145.0,61.6,145.0,26.2,0.5
MDV,104.0,80.6,103.0,88.0,103.0,52.5,1.0
MEX,55.0,142.7,54.0,147.2,57.0,106.9,3.0
MHL,88.5,114.1,87.0,123.8,87.0,84.1,1.5
MKD,75.0,123.6,77.0,130.7,73.0,91.4,4.0
MLI,166.0,41.6,165.5,55.8,148.0,25.3,18.0
MLT,26.0,166.6,17.0,167.0,6.0,130.7,20.0
MMR,180.0,36.7,179.0,50.9,183.0,13.1,4.0
MNE,73.0,124.5,73.0,131.9,74.0,91.2,1.0
MNG,125.0,61.6,122.5,72.6,123.5,36.5,2.5
MOZ,149.0,47.8,151.5,60.1,142.0,27.9,9.5
MRT,161.0,44.4,158.5,57.4,158.0,23.1,3.0
MUS,67.0,131.4,68.0,137.2,65.0,101.7,3.0
MWI,128.0,58.8,128.0,69.3,122.0,36.9,6.0
MYS,33.0,165.0,32.0,165.7,4.5,131.0,28.5
NAM,126.0,61.2,125.0,71.7,117.0,40.0,9.0
NER,159.0,44.5,163.0,56.9,150.0,25.1,13.0
NGA,188.0,31.7,188.5,46.4,166.5,19.8,22.0
NIC,83.0,116.6,83.0,126.1,85.5,85.2,2.5
NLD,12.0,167.8,9.0,167.4,10.5,130.3,3.0
NOR,12.0,167.8,17.0,167.0,28.0,127.3,16.0
NPL,189.5,30.7,184.0,47.6,189.0,10.9,5.5
NRU,117.0,66.5,116.0,76.5,115.0,40.4,2.0
NZL,27.0,166.1,29.5,165.9,37.0,125.0,10.0
OMN,105.0,79.8,108.0,85.3,105.0,50.7,3.0
PAK,197.0,23.0,197.0,39.7,194.0,7.8,3.0
PAN,65.0,134.7,65.0,140.8,68.0,99.9,3.0
PER,57.0,140.3,57.0,144.6,63.0,103.1,6.0
PHL,130.0,57.1,129.0,68.9,132.0,34.1,3.0
PLW,91.0,109.4,91.0,120.5,92.0,77.7,1.0
PNG,119.0,65.0,118.0,74.1,129.0,34.7,11.0
POL,22.0,166.9,24.5,166.7,18.0,128.6,6.5
PRK,189.5,30.7,191.0,44.4,197.0,6.5,7.5
PRT,24.0,166.7,21.0,166.8,15.0,129.2,9.0
PRY,63.0,135.6,63.0,141.2,70.0,98.4,7.0
PSE,192.0,30.0,192.0,43.8,193.0,9.0,1.0
QAT,95.0,103.5,95.0,105.8,95.0,70.5,0.0
ROU,31.0,165.6,29.5,165.9,17.0,128.7,14.0
RUS,92.0,109.0,93.0,110.2,93.0,77.6,1.0
RWA,142.0,50.9,147.0,61.0,156.0,23.4,14.0
SAU,101.5,82.5,101.0,88.8,101.0,54.1,0.5
SDN,187.0,32.0,190.0,45.1,188.0,11.0,3.0
SEN,152.0,46.3,151.5,60.1,143.0,27.1,9.0
SGP,3.5,170.0,2.0,170.1,1.0,137.6,2.5
SLB,78.0,121.4,78.0,130.6,78.0,90.2,0.0
SLE,146.5,49.4,146.0,61.1,136.0,32.8,10.5
SLV,76.0,123.2,74.0,131.5,75.0,90.8,2.0
SMR,48.0,153.6,48.0,155.7,48.0,114.7,0.0
SOM,195.0,25.9,195.0,40.3,192.0,9.1,3.0
SRB,70.0,127.4,71.0,134.6,71.0,97.1,1.0
SSD,182.0,34.8,182.0,48.3,180.0,14.6,2.0
STP,139.0,52.5,139.0,63.3,144.0,26.5,5.0
SUR,116.0,66.9,117.0,76.1,125.5,35.6,9.5
SVK,18.5,167.1,21.0,166.8,22.5,128.1,4.0
SVN,18.5,167.1,21.0,166.8,22.5,128.1,4.0
SWE,12.0,167.8,6.5,167.5,10.5,130.3,5.5
SWZ,127.0,60.1,127.0,70.2,121.0,37.0,6.0
SYC,59.0,139.1,59.0,144.0,55.5,107.4,3.5
SYR,198.0,20.8,198.0,35.9,198.0,6.2,0.0
TCD,165.0,42.4,168.5,54.6,162.0,20.9,6.5
TGO,153.0,45.8,155.5,58.4,151.0,24.9,4.5
THA,109.0,76.1,109.0,83.0,110.0,43.2,1.0
TJK,146.5,49.4,148.0,60.8,161.0,21.3,14.5
TKM,173.0,39.2,174.0,53.0,187.0,11.7,14.0
TLS,97.0,88.2,96.0,101.1,96.0,63.3,1.0
TON,86.0,115.1,86.0,124.9,82.0,88.8,4.0
TTO,68.0,130.5,67.0,139.3,61.0,104.6,7.0
TUN,129.0,58.7,130.0,68.4,134.0,33.4,5.0
TUR,94.0,107.2,94.0,109.9,94.0,71.9,0.0
TUV,82.0,116.9,81.0,127.5,77.0,90.5,5.0
TWN,79.5,121.0,82.0,127.3,88.0,83.7,8.5
TZA,131.0,56.6,133.0,66.5,120.0,37.1,13.0
UGA,140.0,52.3,141.0,62.8,140.0,29.1,1.0
UKR,61.0,137.1,64.0,141.0,69.0,99.1,8.0
URY,52.0,144.4,53.0,148.0,55.5,107.4,3.5
USA,43.0,160.0,43.0,161.0,39.5,122.5,3.5
UZB,132.5,56.1,136.5,65.8,141.0,28.4,8.5
VAT,54.0,143.2,58.0,144.5,62.0,103.2,8.0
VCT,58.0,139.7,56.0,145.6,53.0,109.6,5.0
VEN,85.0,115.5,88.0,122.3,90.0,80.3,5.0
VNM,151.0,46.9,149.5,60.4,154.0,24.0,4.5
VUT,113.0,71.5,111.0,81.0,111.0,42.9,2.0
WSM,81.0,118.5,80.0,127.8,79.0,90.0,2.0
XKX,99.0,85.0,97.0,95.6,97.0,61.6,2.0
YEM,193.0,27.0,194.0,41.0,195.0,7.3,2.0
ZAF,98.0,87.9,99.0,94.0,100.0,57.3,2.0
ZMB,137.0,53.5,138.0,64.4,133.0,33.9,5.0
ZWE,141.0,51.6,140.0,63.2,136.0,32.8,5.0
