passport,rank_winsor_minmax,rank_rank,rank_zscore,rank_spread
LCA,69.0,69.0,69.0,0.0
LIE,38.0,38.0,38.0,0.0
LKA,187.0,187.0,185.0,2.0
LSO,126.0,126.0,126.0,0.0
LTU,34.0,34.0,34.0,0.0
LUX,5.0,5.5,5.0,0.5
LVA,28.0,28.5,28.5,0.5
MAC,62.0,60.0,62.0,2.0
MAR,122.5,123.5,121.0,2.5
MCO,41.0,41.0,41.0,0.0
MDA,90.0,90.0,89.0,1.0
MDG,145.0,146.5,145.0,1.5
MDV,103.0,104.0,102.0,2.0
MEX,54.0,54.0,54.0,0.0
MHL,87.0,87.0,87.0,0.0
MKD,77.0,77.0,78.0,1.0
MLI,165.5,166.0,164.5,1.5
MLT,17.0,18.5,17.0,1.5
MMR,179.0,177.5,179.0,1.5
MNE,73.0,73.0,73.0,0.0
MNG,122.5,119.0,124.0,5.0
MOZ,151.5,153.0,151.0,2.0
MRT,158.5,160.0,160.0,1.5
MUS,68.0,68.0,68.0,0.0
MWI,128.0,130.0,128.0,2.0
MYS,32.0,32.0,27.0,5.0
NAM,125.0,125.0,123.0,2.0
NER,163.0,164.0,161.0,3.0
NGA,188.5,189.0,187.5,1.5
NIC,83.0,83.0,84.0,1.0
NLD,9.0,10.0,7.0,3.0
NOR,17.0,16.0,17.0,1.0
NPL,184.0,184.5,185.0,1.0
NRU,116.0,117.0,116.0,1.0
NZL,29.5,28.5,32.0,3.5
OMN,108.0,106.0,108.0,2.0
PAK,197.0,197.0,197.0,0.0
PAN,65.0,64.0,65.5,1.5
PER,57.0,57.0,58.0,1.0
PHL,129.0,127.5,130.0,2.5
PLW,91.0,91.0,91.0,0.0
PNG,118.0,120.0,118.0,2.0
POL,24.5,23.0,23.5,1.5
PRK,191.0,191.0,191.0,0.0
PRT,21.0,23.0,20.0,3.0
PRY,63.0,63.0,64.0,1.0
PSE,192.0,192.0,192.0,0.0
QAT,95.0,95.0,95.0,0.0
ROU,29.5,30.5,30.0,1.0
RUS,93.0,93.0,93.0,0.0
RWA,147.0,148.0,144.0,4.0
SAU,101.0,101.0,101.0,0.0
SDN,190.0,190.0,190.0,0.0
SEN,151.5,152.0,148.0,4.0
SGP,2.0,2.0,2.0,0.0
SLB,78.0,79.0,74.0,5.0
SLE,146.0,150.0,146.5,4.0
SLV,74.0,74.5,75.0,1.0
SMR,48.0,47.5,48.0,0.5
SOM,195.0,196.0,195.0,1.0
SRB,71.0,71.0,71.0,0.0
SSD,182.0,182.0,182.0,0.0
STP,139.0,139.0,141.0,2.0
SUR,117.0,116.0,117.0,1.0
SVK,21.0,18.5,20.0,2.5
SVN,21.0,18.5,20.0,2.5
SWE,6.5,10.0,7.0,3.5
SWZ,127.0,127.5,127.0,0.5
SYC,59.0,59.0,57.0,2.0
SYR,198.0,198.0,198.0,0.0
TCD,168.5,168.0,168.0,0.5
TGO,155.5,156.5,153.0,3.5
THA,109.0,109.0,110.0,1.0
TJK,148.0,145.0,150.0,5.0
TKM,174.0,174.0,172.5,1.5
TLS,96.0,96.0,96.0,0.0
TON,86.0,86.0,86.0,0.0
TTO,67.0,67.0,67.0,0.0
TUN,130.0,129.0,129.0,1.0
TUR,94.0,94.0,94.0,0.0
TUV,81.0,82.0,81.0,1.0
TWN,82.0,80.0,82.0,2.0
TZA,133.0,135.0,133.5,2.0
UGA,141.0,144.0,139.0,5.0
UKR,64.0,65.0,63.0,2.0
URY,53.0,52.0,53.0,1.0
USA,43.0,43.0,43.0,0.0
UZB,136.5,132.5,137.0,4.5
VAT,58.0,58.0,59.0,1.0
VCT,56.0,56.0,56.0,0.0
VEN,88.0,89.0,88.0,1.0
VNM,149.5,146.5,152.0,5.5
VUT,111.0,113.0,111.0,2.0
WSM,80.0,81.0,80.0,1.0
XKX,97.0,97.0,99.0,2.0
YEM,194.0,193.0,194.0,1.0
ZAF,99.0,99.0,98.0,1.0
ZMB,138.0,138.0,138.0,0.0
ZWE,140.0,140.0,140.0,0.0
