passport,openness_count,openness_graded,openness_people_pct,openness_rank,openness_pos,openness_frac,name
MLT,93.0,93.0,22.91,52,87,105.0,Malta
MMR,16.0,45.6,53.4,87,174,175.0,Myanmar
MNE,101.0,101.0,26.44,45,72,74.0,Montenegro
MNG,67.0,99.8,54.53,68,150,150.0,Mongolia
MOZ,192.0,170.8,78.21,5,21,21.0,Mozambique
MRT,9.0,74.8,36.42,91,182,183.5,Mauritania
MUS,182.0,171.6,86.84,9,26,26.0,Mauritius
MWI,148.0,152.9,68.52,20,38,38.0,Malawi
MYS,167.0,176.8,88.2,14,31,31.0,Malaysia
NAM,137.0,141.1,57.0,25,44,44.0,Namibia
NER,19.0,19.0,6.29,85,171,171.5,Niger
NGA,18.0,81.0,36.15,86,173,173.0,Nigeria
NIC,162.0,151.0,43.77,16,34,34.0,Nicaragua
NLD,93.0,93.0,22.7,52,87,105.0,Netherlands
NOR,93.0,93.0,22.85,52,87,105.0,Norway
NPL,186.0,158.2,81.12,8,24,24.5,Nepal
NRU,16.0,14.0,2.98,87,174,175.0,Nauru
NZL,61.0,43.0,14.47,72,156,156.5,New Zealand
OMN,83.0,112.9,59.67,60,135,135.0,Oman
PAK,9.0,73.0,28.22,91,182,183.5,Pakistan
PAN,116.0,116.0,30.14,35,56,56.0,Panama
PER,103.0,103.0,32.17,43,67,68.5,Peru
PHL,161.0,161.0,64.98,17,35,35.0,Philippines
PLW,196.0,171.5,84.39,3,16,17.0,Palau
PNG,95.0,104.3,46.41,50,83,83.5,Papua New Guinea
POL,93.0,93.0,22.47,52,87,105.0,Poland
PRK,0.0,0.0,0.0,99,197,198.0,North Korea
PRT,93.0,93.0,22.79,52,87,105.0,Portugal
PRY,71.0,70.7,26.23,66,147,147.5,Paraguay
PSE,156.0,156.0,77.49,18,36,36.0,Palestine
QAT,99.0,119.7,71.07,46,77,78.0,Qatar
ROU,93.0,93.0,22.68,52,87,105.0,Romania
RUS,66.0,87.4,41.99,69,151,151.5,Russia
RWA,197.0,184.0,92.79,2,12,13.5,Rwanda
SAU,74.0,100.8,51.07,65,143,144.5,Saudi Arabia
SDN,7.0,6.6,2.6,93,187,188.0,Sudan
SEN,135.0,123.8,74.15,27,46,46.0,Senegal
SGP,164.0,175.9,75.78,15,32,32.5,Singapore
SLB,76.0,69.2,31.77,64,142,142.0,Solomon Islands
SLE,136.0,139.5,78.68,26,45,45.0,Sierra Leone
SLV,88.0,126.5,52.48,56,128,128.0,El Salvador
SMR,93.0,93.0,22.92,52,87,105.0,San Marino
SOM,8.0,73.6,36.98,92,186,186.0,Somalia
SRB,89.0,89.0,45.62,55,127,127.0,Serbia
SSD,5.0,72.2,36.55,95,192,192.5,South Sudan
STP,58.0,106.8,57.31,74,159,159.0,Sao Tome and Principe
SUR,176.0,136.8,65.18,11,28,28.0,Suriname
SVK,93.0,93.0,22.85,52,87,105.0,Slovakia
SVN,93.0,93.0,22.89,52,87,105.0,Slovenia
SWE,93.0,93.0,22.79,52,87,105.0,Sweden
SWZ,97.0,97.0,27.39,48,81,81.0,Swaziland
SYC,197.0,197.0,99.98,2,12,13.5,Seychelles
SYR,25.0,82.4,38.1,82,168,168.0,Syria
TCD,16.0,79.7,38.61,87,174,175.0,Chad
TGO,15.0,79.0,38.84,88,177,178.0,Togo
THA,112.0,139.8,81.98,37,58,58.5,Thailand
TJK,96.0,121.8,55.66,49,82,82.0,Tajikistan
TKM,0.0,0.0,0.0,99,197,198.0,Turkmenistan
TLS,198.0,173.5,86.56,1,1,6.0,Timor-Leste
TON,69.0,63.4,33.0,67,149,149.0,Tonga
TTO,105.0,104.2,52.11,42,65,65.5,Trinidad and Tobago
TUN,99.0,99.0,50.6,46,77,78.0,Tunisia
TUR,105.0,106.8,38.14,42,65,65.5,Turkey
TUV,198.0,173.0,85.88,1,1,6.0,Tuvalu
TWN,74.0,78.3,21.22,65,143,144.5,Taiwan
TZA,174.0,164.0,78.23,12,29,29.0,Tanzania
UGA,40.0,95.3,39.33,78,164,164.0,Uganda
UKR,81.0,96.4,38.36,61,136,137.0,Ukraine
URY,85.0,85.0,26.52,58,132,132.5,Uruguay
USA,46.0,33.4,7.16,77,162,162.5,United States
UZB,94.0,110.1,54.44,51,85,85.5,Uzbekistan
VAT,93.0,93.0,22.92,52,87,105.0,Vatican
VCT,186.0,186.0,76.5,8,24,24.5,Saint Vincent and the Grenadines
VEN,74.0,74.0,24.59,65,143,144.5,Venezuela
VNM,39.0,94.6,46.22,79,165,165.0,Vietnam
VUT,120.0,147.3,84.81,33,54,54.0,Vanuatu
WSM,198.0,172.6,88.65,1,1,6.0,Samoa
XKX,109.0,109.0,24.73,39,62,62.0,Kosovo
YEM,12.0,10.4,3.22,90,181,181.0,Yemen
ZAF,93.0,102.4,48.28,52,87,105.0,South Africa
ZMB,145.0,159.2,68.38,22,40,40.0,Zambia
ZWE,144.0,147.4,74.86,23,41,41.5,Zimbabwe
