passport,att_economy,att_development,att_scale,att_draw,att_security,att_cost,att_overall,tilt_economy,tilt_development,tilt_scale,tilt_draw,tilt_security,tilt_cost,name
DJI,26.2,23.56,28.38,27.37,26.33,32.73,27.43,-1.23,-3.87,0.95,-0.06,-1.1,5.3,Djibouti
DMA,68.49,71.22,62.51,67.58,72.08,63.62,67.58,0.91,3.64,-5.07,0.0,4.5,-3.96,Dominica
DNK,84.54,88.19,78.11,83.89,86.8,78.25,83.3,1.24,4.89,-5.19,0.59,3.5,-5.05,Denmark
DOM,36.25,34.53,38.69,36.99,34.92,42.38,37.29,-1.04,-2.76,1.4,-0.3,-2.37,5.09,Dominican Republic
DZA,28.65,25.73,32.23,29.67,28.45,36.68,30.24,-1.59,-4.51,1.99,-0.57,-1.79,6.44,Algeria
ECU,43.93,43.79,45.37,45.13,40.4,49.08,44.62,-0.69,-0.83,0.75,0.51,-4.22,4.46,Ecuador
EGY,26.62,24.61,28.8,27.67,27.13,33.48,28.05,-1.43,-3.44,0.75,-0.38,-0.92,5.43,Egypt
ERI,22.92,20.24,25.13,23.48,23.23,29.32,24.05,-1.13,-3.81,1.08,-0.57,-0.82,5.27,Eritrea
ESP,84.94,88.79,77.95,84.1,87.63,78.09,83.58,1.36,5.21,-5.63,0.52,4.05,-5.49,Spain
EST,83.69,87.58,77.34,83.57,86.36,77.08,82.6,1.09,4.98,-5.26,0.97,3.76,-5.52,Estonia
ETH,24.39,21.72,26.19,25.11,24.3,30.39,25.35,-0.96,-3.63,0.84,-0.24,-1.05,5.04,Ethiopia
FIN,84.66,88.15,78.13,84.09,86.91,78.28,83.37,1.29,4.78,-5.24,0.72,3.54,-5.09,Finland
FJI,42.31,41.27,44.13,44.0,42.46,47.75,43.65,-1.34,-2.38,0.48,0.35,-1.19,4.1,Fiji
FRA,84.58,88.26,77.91,83.78,86.81,78.13,83.24,1.34,5.02,-5.33,0.54,3.57,-5.11,France
FSM,60.42,62.76,53.81,59.42,64.71,52.9,59.0,1.42,3.76,-5.19,0.42,5.71,-6.1,Micronesia
GAB,29.77,26.56,32.89,30.94,29.83,37.61,31.27,-1.5,-4.71,1.62,-0.33,-1.44,6.34,Gabon
GBR,82.56,86.08,75.41,81.48,85.56,75.66,81.12,1.44,4.96,-5.71,0.36,4.44,-5.46,United Kingdom
GEO,66.49,70.3,60.05,65.98,66.76,60.02,64.93,1.56,5.37,-4.88,1.05,1.83,-4.91,Georgia
GHA,32.11,28.79,35.72,33.62,33.16,41.25,34.11,-2.0,-5.32,1.61,-0.49,-0.95,7.14,Ghana
GIN,28.88,24.97,32.47,30.19,29.22,37.07,30.47,-1.59,-5.5,2.0,-0.28,-1.25,6.6,Guinea
GMB,32.43,28.64,35.97,33.52,33.7,41.77,34.34,-1.91,-5.7,1.63,-0.82,-0.64,7.43,Gambia
GNB,26.75,23.12,30.21,27.65,27.82,34.72,28.38,-1.63,-5.26,1.83,-0.73,-0.56,6.34,Guinea-Bissau
GNQ,28.28,24.95,31.62,29.12,28.45,36.19,29.77,-1.49,-4.82,1.85,-0.65,-1.32,6.42,Equatorial Guinea
GRC,84.19,87.82,77.6,83.49,86.75,77.54,82.9,1.29,4.92,-5.3,0.59,3.85,-5.36,Greece
GRD,70.55,72.68,65.22,69.64,74.29,65.15,69.59,0.96,3.09,-4.37,0.05,4.7,-4.44,Grenada
GTM,66.64,69.78,59.62,65.83,69.74,58.38,65.0,1.64,4.78,-5.38,0.83,4.74,-6.62,Guatemala
GUY,42.59,41.65,43.76,44.03,43.5,48.17,43.95,-1.36,-2.3,-0.19,0.08,-0.45,4.22,Guyana
HKG,81.33,84.46,76.19,80.91,82.8,75.6,80.21,1.12,4.25,-4.02,0.7,2.59,-4.61,Hong Kong
HND,65.92,69.18,59.15,64.92,68.65,58.67,64.42,1.5,4.76,-5.27,0.5,4.23,-5.75,Honduras
HRV,84.2,87.95,77.76,83.72,86.58,77.47,82.95,1.25,5.0,-5.19,0.77,3.63,-5.48,Croatia
HTI,26.44,23.97,28.31,26.81,26.5,32.04,27.34,-0.9,-3.37,0.97,-0.53,-0.84,4.7,Haiti
HUN,84.11,87.96,77.67,83.63,86.81,77.41,82.93,1.18,5.03,-5.26,0.7,3.88,-5.52,Hungary
IDN,40.02,38.66,42.8,40.8,37.19,47.65,41.19,-1.17,-2.53,1.61,-0.39,-4.0,6.46,Indonesia
IND,30.43,29.02,32.1,31.58,31.26,37.24,31.94,-1.51,-2.92,0.16,-0.36,-0.68,5.3,India
IRL,84.15,87.94,78.17,83.8,86.71,78.02,83.13,1.02,4.81,-4.96,0.67,3.58,-5.11,Ireland
IRN,23.54,21.99,25.33,24.15,22.63,28.97,24.44,-0.9,-2.45,0.89,-0.29,-1.81,4.53,Iran
IRQ,19.75,17.79,21.54,20.49,19.58,24.9,20.67,-0.92,-2.88,0.87,-0.18,-1.09,4.23,Iraq
ISL,82.83,86.73,76.34,82.56,85.12,76.11,81.62,1.21,5.11,-5.28,0.94,3.5,-5.51,Iceland
ISR,75.3,79.0,68.99,74.39,79.18,67.98,74.14,1.16,4.86,-5.15,0.25,5.04,-6.16,Israel
ITA,84.54,88.22,77.86,83.76,86.8,77.96,83.19,1.35,5.03,-5.33,0.57,3.61,-5.23,Italy
JAM,43.34,42.02,46.57,45.28,42.33,51.3,45.14,-1.8,-3.12,1.43,0.14,-2.81,6.16,Jamaica
JOR,28.45,26.49,30.88,30.16,26.46,34.73,29.53,-1.08,-3.04,1.35,0.63,-3.07,5.2,Jordan
JPN,84.82,88.35,78.25,84.18,85.81,77.99,83.23,1.59,5.12,-4.98,0.95,2.58,-5.24,Japan
KAZ,40.43,40.45,42.23,41.93,36.06,46.44,41.26,-0.83,-0.81,0.97,0.67,-5.2,5.18,Kazakhstan
KEN,32.71,29.23,35.89,34.04,33.69,40.84,34.4,-1.69,-5.17,1.49,-0.36,-0.71,6.44,Kenya
KGZ,33.09,32.58,34.69,33.96,29.95,39.7,33.99,-0.9,-1.41,0.7,-0.03,-4.04,5.71,Kyrgyzstan
KHM,29.75,27.58,30.95,30.59,28.75,35.3,30.49,-0.74,-2.91,0.46,0.1,-1.74,4.81,Cambodia
KIR,63.66,65.44,56.03,62.37,69.71,56.88,62.35,1.31,3.09,-6.32,0.02,7.36,-5.47,Kiribati
KNA,73.76,76.53,67.78,72.62,77.21,68.76,72.78,0.98,3.75,-5.0,-0.16,4.43,-4.02,Saint Kitts and Nevis
KOR,85.2,88.58,78.91,84.71,86.1,78.41,83.65,1.55,4.93,-4.74,1.06,2.45,-5.24,South Korea
KWT,47.34,45.93,49.7,48.81,43.32,54.78,48.31,-0.97,-2.38,1.39,0.5,-4.99,6.47,Kuwait
LAO,28.0,25.69,30.09,28.84,26.22,33.83,28.78,-0.78,-3.09,1.31,0.06,-2.56,5.05,Laos
LBN,24.97,23.67,26.66,25.87,24.51,30.39,26.01,-1.04,-2.34,0.65,-0.14,-1.5,4.38,Lebanon
LBR,25.75,21.76,29.77,26.82,26.56,33.64,27.38,-1.63,-5.62,2.39,-0.56,-0.82,6.26,Liberia
LBY,23.03,21.05,25.74,23.91,23.88,29.97,24.6,-1.57,-3.55,1.14,-0.69,-0.72,5.37,Libya
LCA,68.97,71.18,63.07,67.94,73.65,63.81,68.1,0.87,3.08,-5.03,-0.16,5.55,-4.29,Saint Lucia
LIE,82.54,86.78,76.17,82.37,85.11,75.69,81.44,1.1,5.34,-5.27,0.93,3.67,-5.75,Liechtenstein
LKA,23.0,21.41,24.9,24.33,23.92,29.06,24.44,-1.44,-3.03,0.46,-0.11,-0.52,4.62,Sri Lanka
LSO,35.08,32.63,36.86,35.93,36.6,42.08,36.53,-1.45,-3.9,0.33,-0.6,0.07,5.55,Lesotho
LTU,83.02,86.89,76.48,82.62,86.15,76.48,81.94,1.08,4.95,-5.46,0.68,4.21,-5.46,Lithuania
LUX,84.37,88.42,78.35,84.12,86.88,78.38,83.42,0.95,5.0,-5.07,0.7,3.46,-5.04,Luxembourg
LVA,83.72,87.54,77.32,83.36,86.41,77.0,82.56,1.16,4.98,-5.24,0.8,3.85,-5.56,Latvia
MAC,72.06,75.8,64.81,71.21,73.57,64.01,70.24,1.82,5.56,-5.43,0.97,3.33,-6.23,Macao
MAR,35.38,32.86,39.79,37.27,35.11,44.81,37.54,-2.16,-4.68,2.25,-0.27,-2.43,7.27,Morocco
MCO,81.55,85.26,75.89,81.74,83.1,74.62,80.36,1.19,4.9,-4.47,1.38,2.74,-5.74,Monaco
MDA,61.74,64.95,55.73,60.9,63.22,56.17,60.45,1.29,4.5,-4.72,0.45,2.77,-4.28,Moldova
MDG,30.72,26.95,33.23,31.5,30.67,38.2,31.88,-1.16,-4.93,1.35,-0.38,-1.21,6.32,Madagascar
MDV,44.01,42.52,45.37,45.11,42.39,50.46,44.98,-0.97,-2.46,0.39,0.13,-2.59,5.48,Maldives
MEX,74.58,78.32,67.55,73.81,76.71,67.49,73.08,1.5,5.24,-5.53,0.73,3.63,-5.59,Mexico
MHL,62.67,64.74,56.19,61.76,67.21,55.22,61.3,1.37,3.44,-5.11,0.46,5.91,-6.08,Marshall Islands
MKD,66.39,69.51,59.63,65.51,68.39,59.61,64.84,1.55,4.67,-5.21,0.67,3.55,-5.23,North Macedonia
MLI,27.32,23.7,31.28,28.53,27.67,35.34,28.97,-1.65,-5.27,2.31,-0.44,-1.3,6.37,Mali
MLT,84.03,87.69,78.3,83.97,86.79,77.87,83.11,0.92,4.58,-4.81,0.86,3.68,-5.24,Malta
MMR,25.62,23.09,27.06,26.08,24.65,31.14,26.27,-0.65,-3.18,0.79,-0.19,-1.62,4.87,Myanmar
MNE,67.13,70.52,60.51,66.27,67.84,60.64,65.48,1.65,5.04,-4.97,0.79,2.36,-4.84,Montenegro
MNG,36.39,35.53,38.34,37.95,33.13,41.17,37.08,-0.69,-1.55,1.26,0.87,-3.95,4.09,Mongolia
MOZ,29.55,26.67,31.96,30.49,30.58,37.05,31.05,-1.5,-4.38,0.91,-0.56,-0.47,6.0,Mozambique
MRT,28.44,24.88,31.64,29.1,28.33,36.35,29.79,-1.35,-4.91,1.85,-0.69,-1.46,6.56,Mauritania
MUS,69.32,71.12,63.4,68.75,73.25,63.64,68.25,1.07,2.87,-4.85,0.5,5.0,-4.61,Mauritius
MWI,34.14,31.68,35.9,35.21,35.32,41.69,35.66,-1.52,-3.98,0.24,-0.45,-0.34,6.03,Malawi
MYS,83.66,86.05,78.75,83.52,84.92,79.41,82.72,0.94,3.33,-3.97,0.8,2.2,-3.31,Malaysia
NAM,35.61,32.73,37.71,36.85,35.55,43.23,36.95,-1.34,-4.22,0.76,-0.1,-1.4,6.28,Namibia
NER,28.06,23.91,32.1,28.81,28.23,36.4,29.58,-1.52,-5.67,2.52,-0.77,-1.35,6.82,Niger
NGA,22.14,19.19,26.16,23.12,24.46,29.77,24.14,-2.0,-4.95,2.02,-1.02,0.32,5.63,Nigeria
NIC,64.16,67.27,57.1,63.13,66.35,56.64,62.44,1.72,4.83,-5.34,0.69,3.91,-5.8,Nicaragua
NLD,84.51,88.19,78.15,83.94,86.91,78.27,83.33,1.18,4.86,-5.18,0.61,3.58,-5.06,Netherlands
NOR,84.42,87.92,77.96,83.87,86.54,78.12,83.14,1.28,4.78,-5.18,0.73,3.4,-5.02,Norway
NPL,23.42,21.06,25.92,24.67,23.23,29.36,24.61,-1.19,-3.55,1.31,0.06,-1.38,4.75,Nepal
NRU,37.88,36.77,38.36,38.61,39.16,43.77,39.09,-1.21,-2.32,-0.73,-0.48,0.07,4.68,Nauru
NZL,83.84,87.48,77.32,83.17,86.04,77.0,82.48,1.36,5.0,-5.16,0.69,3.56,-5.48,New Zealand
OMN,42.76,41.7,44.99,44.76,38.66,49.05,43.65,-0.89,-1.95,1.34,1.11,-4.99,5.4,Oman
PAK,19.3,17.31,20.9,20.15,21.12,24.17,20.49,-1.19,-3.18,0.41,-0.34,0.63,3.68,Pakistan
PAN,71.88,74.8,64.84,70.55,72.75,64.2,69.84,2.04,4.96,-5.0,0.71,2.91,-5.64,Panama
PER,73.56,77.15,66.16,72.36,75.26,66.16,71.77,1.79,5.38,-5.61,0.59,3.49,-5.61,Peru
PHL,34.28,32.64,35.72,35.12,33.95,39.89,35.27,-0.99,-2.63,0.45,-0.15,-1.32,4.62,Philippines
PLW,61.14,63.34,54.49,60.09,65.08,53.33,59.58,1.56,3.76,-5.09,0.51,5.5,-6.25,Palau
PNG,36.36,35.06,37.78,37.77,37.8,43.05,37.97,-1.61,-2.91,-0.19,-0.2,-0.17,5.08,Papua New Guinea
POL,84.14,87.92,77.67,83.68,86.66,77.5,82.93,1.21,4.99,-5.26,0.75,3.73,-5.43,Poland
PRK,21.84,19.95,24.51,22.76,21.11,28.29,23.08,-1.24,-3.13,1.43,-0.32,-1.97,5.21,North Korea
PRT,84.2,87.93,77.72,83.54,86.77,77.63,82.96,1.24,4.97,-5.24,0.58,3.81,-5.33,Portugal
PRY,71.87,75.46,64.36,70.85,73.58,63.34,69.91,1.96,5.55,-5.55,0.94,3.67,-6.57,Paraguay
PSE,21.74,19.69,24.0,22.25,20.91,27.68,22.71,-0.97,-3.02,1.29,-0.46,-1.8,4.97,Palestine
QAT,52.77,52.53,55.88,54.52,48.51,59.29,53.92,-1.15,-1.39,1.96,0.6,-5.41,5.37,Qatar
ROU,83.7,87.42,77.16,83.27,86.28,77.42,82.54,1.16,4.88,-5.38,0.73,3.74,-5.12,Romania
RUS,54.76,55.27,56.55,56.08,52.16,62.6,56.24,-1.48,-0.97,0.31,-0.16,-4.08,6.36,Russia
RWA,29.75,26.02,34.46,30.68,30.56,38.54,31.67,-1.92,-5.65,2.79,-0.99,-1.11,6.87,Rwanda
SAU,44.63,43.11,46.59,46.05,40.99,51.43,45.47,-0.84,-2.36,1.12,0.58,-4.48,5.96,Saudi Arabia
SDN,21.99,19.43,24.36,23.27,22.77,28.66,23.41,-1.42,-3.98,0.95,-0.14,-0.64,5.25,Sudan
SEN,29.45,25.29,34.16,30.48,29.6,38.79,31.3,-1.85,-6.01,2.86,-0.82,-1.7,7.49,Senegal
SGP,85.86,88.5,80.65,85.5,87.75,80.47,84.79,1.07,3.71,-4.14,0.71,2.96,-4.32,Singapore
SLB,65.92,67.79,59.25,65.12,71.0,59.83,64.82,1.1,2.97,-5.57,0.3,6.18,-4.99,Solomon Islands
SLE,29.79,26.59,32.52,30.75,31.99,37.94,31.6,-1.81,-5.01,0.92,-0.85,0.39,6.34,Sierra Leone
SLV,66.8,70.27,59.51,65.75,69.47,58.88,65.11,1.69,5.16,-5.6,0.64,4.36,-6.23,El Salvador
SMR,78.52,82.15,72.91,78.96,80.31,70.99,77.31,1.21,4.84,-4.4,1.65,3.0,-6.32,San Marino
SOM,19.71,17.64,21.63,20.46,20.54,25.66,20.94,-1.23,-3.3,0.69,-0.48,-0.4,4.72,Somalia
SRB,68.19,71.86,62.07,67.57,69.36,62.22,66.88,1.31,4.98,-4.81,0.69,2.48,-4.66,Serbia
SSD,23.73,21.07,26.05,24.69,24.38,30.07,25.0,-1.27,-3.93,1.05,-0.31,-0.62,5.07,South Sudan
STP,31.44,28.49,33.85,32.42,31.33,38.22,32.62,-1.18,-4.13,1.23,-0.2,-1.29,5.6,Sao Tome and Principe
SUR,37.95,37.19,39.13,39.28,36.56,42.39,38.75,-0.8,-1.56,0.38,0.53,-2.19,3.64,Suriname
SVK,84.1,87.98,77.72,83.93,86.66,77.45,82.97,1.13,5.01,-5.25,0.96,3.69,-5.52,Slovakia
SVN,84.13,87.88,77.78,83.96,86.59,77.5,82.97,1.16,4.91,-5.19,0.99,3.62,-5.47,Slovenia
SWE,84.6,88.2,78.09,84.0,86.9,78.3,83.35,1.25,4.85,-5.26,0.65,3.55,-5.05,Sweden
SWZ,34.45,32.31,36.17,35.46,36.38,41.59,36.06,-1.61,-3.75,0.11,-0.6,0.32,5.53,Swaziland
SYC,72.97,74.82,67.13,72.31,75.49,67.47,71.7,1.27,3.12,-4.57,0.61,3.79,-4.23,Seychelles
SYR,17.7,16.12,19.15,18.37,17.79,21.98,18.52,-0.82,-2.4,0.63,-0.15,-0.73,3.46,Syria
TCD,27.12,23.29,30.39,27.61,27.08,34.72,28.37,-1.25,-5.08,2.02,-0.76,-1.29,6.35,Chad
TGO,28.63,24.81,32.61,29.46,29.29,37.3,30.35,-1.72,-5.54,2.26,-0.89,-1.06,6.95,Togo
THA,41.18,40.47,43.17,42.52,39.9,46.85,42.35,-1.17,-1.88,0.82,0.17,-2.45,4.5,Thailand
TJK,30.29,29.87,31.66,31.1,28.23,36.36,31.25,-0.96,-1.38,0.41,-0.15,-3.02,5.11,Tajikistan
TKM,26.16,25.25,27.52,27.12,25.75,32.01,27.3,-1.14,-2.05,0.22,-0.18,-1.55,4.71,Turkmenistan
TLS,51.84,53.16,44.84,50.03,55.17,45.13,50.03,1.81,3.13,-5.19,0.0,5.14,-4.9,Timor-Leste
TON,63.22,65.16,56.02,61.9,68.59,56.22,61.85,1.37,3.31,-5.83,0.05,6.74,-5.63,Tonga
TTO,70.0,72.07,65.28,69.57,73.7,65.96,69.43,0.57,2.64,-4.15,0.14,4.27,-3.47,Trinidad and Tobago
TUN,33.42,30.78,37.74,35.04,33.33,41.59,35.32,-1.9,-4.54,2.42,-0.28,-1.99,6.27,Tunisia
TUR,54.47,54.72,56.35,55.59,52.82,62.37,56.05,-1.58,-1.33,0.3,-0.46,-3.23,6.32,Turkey
TUV,64.61,66.41,57.02,62.95,70.35,58.02,63.23,1.38,3.18,-6.21,-0.28,7.12,-5.21,Tuvalu
TWN,64.94,67.44,56.84,63.56,68.97,55.15,62.82,2.12,4.62,-5.98,0.74,6.15,-7.67,Taiwan
TZA,32.79,29.6,35.49,33.92,33.61,40.74,34.36,-1.57,-4.76,1.13,-0.44,-0.75,6.38,Tanzania
UGA,30.85,27.88,33.46,32.2,31.81,38.62,32.47,-1.62,-4.59,0.99,-0.27,-0.66,6.15,Uganda
UKR,71.64,75.23,64.5,70.56,73.06,65.35,70.06,1.58,5.17,-5.56,0.5,3.0,-4.71,Ukraine
URY,75.48,78.81,68.45,74.21,76.11,67.82,73.48,2.0,5.33,-5.03,0.73,2.63,-5.66,Uruguay
USA,81.42,84.9,73.83,80.21,85.28,74.23,79.98,1.44,4.92,-6.15,0.23,5.3,-5.75,United States
UZB,32.98,32.53,34.58,34.07,29.72,38.8,33.78,-0.8,-1.25,0.8,0.29,-4.06,5.02,Uzbekistan
VAT,73.34,76.42,66.76,71.69,75.9,66.26,71.73,1.61,4.69,-4.97,-0.04,4.17,-5.47,Vatican
VCT,73.42,75.97,67.62,72.46,77.31,67.87,72.44,0.98,3.53,-4.82,0.02,4.87,-4.57,Saint Vincent and the Grenadines
VEN,62.11,65.14,55.39,61.24,64.34,55.55,60.63,1.48,4.51,-5.24,0.61,3.71,-5.08,Venezuela
VNM,29.97,28.29,31.75,30.71,29.46,35.99,31.03,-1.06,-2.74,0.72,-0.32,-1.57,4.96,Vietnam
VUT,40.14,38.84,41.19,40.75,40.62,47.42,41.49,-1.35,-2.65,-0.3,-0.74,-0.87,5.93,Vanuatu
WSM,64.57,66.7,57.54,63.71,69.83,57.65,63.33,1.24,3.37,-5.79,0.38,6.5,-5.68,Samoa
XKX,48.64,50.46,42.19,47.57,52.69,41.56,47.18,1.46,3.28,-4.99,0.39,5.51,-5.62,Kosovo
YEM,19.98,18.24,22.27,21.2,20.13,25.8,21.27,-1.29,-3.03,1.0,-0.07,-1.14,4.53,Yemen
ZAF,46.34,45.26,49.01,47.74,46.02,54.32,48.12,-1.78,-2.86,0.89,-0.38,-2.1,6.2,South Africa
ZMB,31.81,29.03,33.56,32.77,32.96,38.93,33.18,-1.37,-4.15,0.38,-0.41,-0.22,5.75,Zambia
ZWE,31.22,28.16,33.58,32.31,31.96,38.18,32.57,-1.35,-4.41,1.01,-0.26,-0.61,5.61,Zimbabwe
