passport,baseline_rank,target_rank,weighting_only_rank,friction_only_rank,baseline_pos,target_pos,total_move,weighting_effect,friction_effect,name
CYP,37.0,35.5,39.0,34.5,36,35,1.5,-2.0,2.5,Cyprus
CZE,30.5,33.0,31.0,32.0,28,33,-2.5,-0.5,-1.5,Czech Republic
DEU,12.0,14.5,12.0,15.5,6,14,-2.5,0.0,-3.5,Germany
DJI,177.0,172.5,175.5,176.0,176,172,4.5,1.5,1.0,Djibouti
DMA,70.0,70.0,71.0,70.0,70,70,0.0,-1.0,0.0,Dominica
DNK,12.0,9.0,12.0,11.0,6,8,3.0,0.0,1.0,Denmark
DOM,126.0,121.0,122.0,126.0,125,121,5.0,4.0,0.0,Dominican Republic
DZA,154.0,157.0,154.5,155.0,153,157,-3.0,-0.5,-1.0,Algeria
ECU,102.5,105.0,101.5,107.0,102,105,-2.5,1.0,-4.5,Ecuador
EGY,168.5,170.0,170.5,168.0,168,170,-1.5,-2.0,0.5,Egypt
ERI,190.5,188.5,191.0,188.0,190,188,2.0,-0.5,2.5,Eritrea
ESP,5.0,3.5,5.0,3.0,5,3,1.5,0.0,2.0,Spain
EST,30.5,27.0,28.5,30.0,28,27,3.5,2.0,0.5,Estonia
ETH,180.0,181.0,181.0,180.5,180,181,-1.0,-1.0,-0.5,Ethiopia
FIN,12.0,6.5,6.5,6.0,6,6,5.5,5.5,6.0,Finland
FJI,107.5,107.0,110.5,105.5,107,107,0.5,-3.0,2.0,Fiji
FRA,12.0,12.0,12.0,11.0,6,11,0.0,0.0,1.0,France
FSM,95.0,92.0,93.0,92.5,95,92,3.0,2.0,2.5,Micronesia
GAB,147.5,149.5,148.0,149.5,146,149,-2.0,-0.5,-2.0,Gabon
GBR,37.0,39.0,38.0,38.0,36,39,-2.0,-1.0,-1.0,United Kingdom
GEO,72.5,76.0,72.0,76.0,72,76,-3.5,0.5,-3.5,Georgia
GHA,133.0,136.5,138.0,128.5,132,136,-3.5,-5.0,4.5,Ghana
GIN,157.0,154.0,154.5,156.0,156,154,3.0,2.5,1.0,Guinea
GMB,130.5,134.0,136.0,127.0,130,134,-3.5,-5.5,3.5,Gambia
GNB,166.0,168.5,169.0,163.5,165,168,-2.5,-3.0,2.5,Guinea-Bissau
GNQ,154.0,158.5,156.0,157.5,153,158,-4.5,-2.0,-3.5,Equatorial Guinea
GRC,23.0,24.5,24.0,20.5,19,24,-1.5,-1.0,2.5,Greece
GRD,63.5,66.0,66.0,64.0,63,66,-2.5,-2.5,-0.5,Grenada
GTM,80.5,75.0,77.0,79.0,79,75,5.5,3.5,1.5,Guatemala
GUY,105.5,106.0,107.0,103.5,105,106,-0.5,-1.5,2.0,Guyana
HKG,42.0,42.0,42.0,42.0,41,42,0.0,0.0,0.0,Hong Kong
HND,80.5,79.0,79.5,81.0,79,79,1.5,1.0,-0.5,Honduras
HRV,23.0,21.0,20.5,25.0,19,19,2.0,2.5,-2.0,Croatia
HTI,177.0,172.5,168.0,178.0,176,172,4.5,9.0,-1.0,Haiti
HUN,23.0,21.0,20.5,25.0,19,19,2.0,2.5,-2.0,Hungary
IDN,113.5,113.0,112.0,112.0,113,113,0.5,1.5,1.5,Indonesia
IND,151.0,143.0,150.0,146.0,150,143,8.0,1.0,5.0,India
IRL,12.0,17.0,17.0,15.5,6,16,-5.0,-5.0,-3.5,Ireland
IRN,187.0,185.5,184.0,189.0,186,185,1.5,3.0,-2.0,Iran
IRQ,196.5,196.0,196.0,197.0,196,196,0.5,0.5,-0.5,Iraq
ISL,39.5,37.0,37.0,37.0,39,37,2.5,2.5,2.5,Iceland
ISR,50.0,50.0,51.0,50.0,50,50,0.0,-1.0,0.0,Israel
ITA,12.0,14.5,12.0,15.5,6,14,-2.5,0.0,-3.5,Italy
JAM,104.0,102.0,106.0,101.0,104,102,2.0,-2.0,3.0,Jamaica
JOR,166.0,161.5,161.0,167.0,165,161,4.5,5.0,-1.0,Jordan
JPN,4.0,12.0,3.5,22.0,4,11,-8.0,0.5,-18.0,Japan
KAZ,112.0,112.0,110.5,114.0,112,112,0.0,1.5,-2.0,Kazakhstan
KEN,128.5,132.0,132.5,128.5,128,132,-3.5,-4.0,0.0,Kenya
KGZ,139.0,135.0,134.0,137.0,139,135,4.0,5.0,2.0,Kyrgyzstan
KHM,163.0,153.0,158.0,161.0,162,153,10.0,5.0,2.0,Cambodia
KIR,84.5,84.0,87.0,82.0,84,84,0.5,-2.5,2.5,Kiribati
KNA,54.5,55.0,56.0,53.0,54,55,-0.5,-1.5,1.5,Saint Kitts and Nevis
KOR,2.5,3.5,2.0,6.0,2,3,-1.0,0.5,-3.5,South Korea
KWT,96.0,98.0,96.0,97.0,96,98,-2.0,0.0,-1.0,Kuwait
LAO,177.0,165.5,167.0,172.0,176,165,11.5,10.0,5.0,Laos
LBN,179.0,180.0,178.0,179.0,179,180,-1.0,1.0,0.0,Lebanon
LBR,171.0,175.0,175.5,171.0,170,175,-4.0,-4.5,0.0,Liberia
LBY,185.0,185.5,185.0,186.0,185,185,-0.5,0.0,-1.0,Libya
LCA,69.0,69.0,69.0,67.5,69,69,0.0,0.0,1.5,Saint Lucia
LIE,37.0,38.0,36.0,39.0,36,38,-1.0,1.0,-2.0,Liechtenstein
LKA,187.0,187.0,186.0,183.5,186,187,0.0,1.0,3.5,Sri Lanka
LSO,121.5,126.0,124.0,123.0,121,126,-4.5,-2.5,-1.5,Lesotho
LTU,34.5,34.0,34.5,34.5,34,34,0.5,0.0,0.0,Lithuania
LUX,12.0,5.0,6.5,6.0,6,5,7.0,5.5,6.0,Luxembourg
LVA,30.5,28.0,28.5,30.0,28,28,2.5,2.0,0.5,Latvia
MAC,62.0,62.0,60.0,65.0,62,62,0.0,2.0,-3.0,Macao
MAR,119.0,122.5,123.0,118.0,118,122,-3.5,-4.0,1.0,Morocco
MCO,42.0,41.0,41.0,43.0,41,41,1.0,1.0,-1.0,Monaco
MDA,90.5,90.0,88.5,89.0,90,90,0.5,2.0,1.5,Moldova
MDG,145.0,145.0,144.5,147.0,145,145,0.0,0.5,-2.0,Madagascar
MDV,100.0,103.0,104.0,100.0,99,103,-3.0,-4.0,0.0,Maldives
MEX,54.5,54.0,55.0,56.0,54,54,0.5,-0.5,-1.5,Mexico
MHL,88.0,87.0,88.5,86.0,87,87,1.0,-0.5,2.0,Marshall Islands
MKD,75.0,77.0,75.0,79.0,74,77,-2.0,0.0,-4.0,North Macedonia
MLI,163.0,165.5,166.0,162.0,162,165,-2.5,-3.0,1.0,Mali
MLT,23.0,17.0,26.0,15.5,19,16,6.0,-3.0,7.5,Malta
MMR,182.5,179.0,180.0,180.5,181,179,3.5,2.5,2.0,Myanmar
MNE,75.0,73.0,73.0,74.0,74,73,2.0,2.0,1.0,Montenegro
MNG,133.0,122.5,125.0,131.0,132,122,10.5,8.0,2.0,Mongolia
MOZ,147.5,151.5,149.0,149.5,146,151,-4.0,-1.5,-2.0,Mozambique
MRT,159.5,158.5,161.0,160.0,159,158,1.0,-1.5,-0.5,Mauritania
MUS,66.0,68.0,67.0,67.5,65,68,-2.0,-1.0,-1.5,Mauritius
MWI,126.0,128.0,128.0,125.0,125,128,-2.0,-2.0,1.0,Malawi
MYS,12.0,32.0,33.0,9.0,6,32,-20.0,-21.0,3.0,Malaysia
NAM,123.0,125.0,126.0,121.0,123,125,-2.0,-3.0,2.0,Namibia
NER,157.0,163.0,159.0,159.0,156,163,-6.0,-2.0,-2.0,Niger
NGA,182.5,188.5,188.0,182.0,181,188,-6.0,-5.5,0.5,Nigeria
NIC,88.0,83.0,83.0,85.0,87,83,5.0,5.0,3.0,Nicaragua
NLD,12.0,9.0,12.0,6.0,6,8,3.0,0.0,6.0,Netherlands
NOR,12.0,17.0,12.0,18.5,6,16,-5.0,0.0,-6.5,Norway
NPL,190.5,184.0,189.5,187.0,190,184,6.5,1.0,3.5,Nepal
NRU,115.0,116.0,117.0,115.0,115,116,-1.0,-2.0,0.0,Nauru
NZL,30.5,29.5,27.0,33.0,28,29,1.0,3.5,-2.5,New Zealand
OMN,105.5,108.0,105.0,109.0,105,108,-2.5,0.5,-3.5,Oman
PAK,196.5,197.0,197.0,196.0,196,197,-0.5,-0.5,0.5,Pakistan
PAN,68.0,65.0,65.0,69.0,68,65,3.0,3.0,-1.0,Panama
PER,59.0,57.0,57.0,59.0,59,57,2.0,2.0,0.0,Peru
PHL,136.5,129.0,130.0,135.0,135,129,7.5,6.5,1.5,Philippines
PLW,93.5,91.0,91.0,90.0,93,91,2.5,2.5,3.5,Palau
PNG,116.5,118.0,119.0,116.0,116,118,-1.5,-2.5,0.5,Papua New Guinea
POL,23.0,24.5,22.0,20.5,19,24,-1.5,1.0,2.5,Poland
PRK,189.0,191.0,189.5,191.0,189,191,-2.0,-0.5,-2.0,North Korea
PRT,23.0,21.0,24.0,18.5,19,19,2.0,-1.0,4.5,Portugal
PRY,66.0,63.0,63.0,66.0,65,63,3.0,3.0,0.0,Paraguay
PSE,192.0,192.0,192.0,192.0,192,192,0.0,0.0,0.0,Palestine
QAT,93.5,95.0,95.0,95.0,93,95,-1.5,-1.5,-1.5,Qatar
ROU,30.5,29.5,31.0,28.0,28,29,1.0,-0.5,2.5,Romania
RUS,80.5,93.0,92.0,91.0,79,93,-12.5,-11.5,-10.5,Russia
RWA,136.5,147.0,142.0,139.0,135,147,-10.5,-5.5,-2.5,Rwanda
SAU,100.0,101.0,101.5,102.0,99,101,-1.0,-1.5,-2.0,Saudi Arabia
SDN,187.0,190.0,187.0,190.0,186,190,-3.0,0.0,-3.0,Sudan
SEN,147.5,151.5,152.0,145.0,146,151,-4.0,-4.5,2.5,Senegal
SGP,2.5,2.0,3.5,2.0,2,2,0.5,-1.0,0.5,Singapore
SLB,72.5,78.0,78.0,71.5,72,78,-5.5,-5.5,1.0,Solomon Islands
SLE,142.5,146.0,146.5,143.0,141,146,-3.5,-4.0,-0.5,Sierra Leone
SLV,77.0,74.0,76.0,75.0,77,74,3.0,1.0,2.0,El Salvador
SMR,48.0,48.0,48.0,48.0,48,48,0.0,0.0,0.0,San Marino
SOM,195.0,195.0,195.0,195.0,195,195,0.0,0.0,0.0,Somalia
SRB,71.0,71.0,70.0,71.5,71,71,0.0,1.0,-0.5,Serbia
SSD,182.5,182.0,182.0,183.5,181,182,0.5,0.5,-1.0,South Sudan
STP,142.5,139.0,139.0,144.0,141,139,3.5,3.5,-1.5,Sao Tome and Principe
SUR,121.5,117.0,116.0,120.0,121,117,4.5,5.5,1.5,Suriname
SVK,23.0,21.0,18.5,25.0,19,19,2.0,4.5,-2.0,Slovakia
SVN,23.0,21.0,18.5,25.0,19,19,2.0,4.5,-2.0,Slovenia
SWE,12.0,6.5,12.0,6.0,6,6,5.5,0.0,6.0,Sweden
SWZ,124.0,127.0,127.0,124.0,124,127,-3.0,-3.0,0.0,Swaziland
SYC,58.0,59.0,59.0,57.0,58,59,-1.0,-1.0,1.0,Seychelles
SYR,198.0,198.0,198.0,198.0,198,198,0.0,0.0,0.0,Syria
TCD,163.0,168.5,165.0,166.0,162,168,-5.5,-2.0,-3.0,Chad
TGO,151.0,155.5,153.0,151.0,150,155,-4.5,-2.0,0.0,Togo
THA,111.0,109.0,109.0,111.0,111,109,2.0,2.0,0.0,Thailand
TJK,151.0,148.0,146.5,153.5,150,148,3.0,4.5,-2.5,Tajikistan
TKM,174.0,174.0,173.0,173.0,173,174,0.0,1.0,1.0,Turkmenistan
TLS,102.5,96.0,97.0,98.0,102,96,6.5,5.5,4.5,Timor-Leste
TON,84.5,86.0,86.0,83.0,84,86,-1.5,-1.5,1.5,Tonga
TTO,66.0,67.0,68.0,61.0,65,67,-1.0,-2.0,5.0,Trinidad and Tobago
TUN,130.5,130.0,129.0,134.0,130,130,0.5,1.5,-3.5,Tunisia
TUR,86.0,94.0,94.0,94.0,86,94,-8.0,-8.0,-8.0,Turkey
TUV,80.5,81.0,82.0,77.0,79,81,-0.5,-1.5,3.5,Tuvalu
TWN,83.0,82.0,79.5,84.0,83,82,1.0,3.5,-1.0,Taiwan
TZA,128.5,133.0,131.0,132.0,128,133,-4.5,-2.5,-3.5,Tanzania
UGA,136.5,141.0,140.0,138.0,135,141,-4.5,-3.5,-1.5,Uganda
UKR,61.0,64.0,61.0,63.0,61,64,-3.0,0.0,-2.0,Ukraine
URY,53.0,53.0,52.0,54.0,53,53,0.0,1.0,-1.0,Uruguay
USA,42.0,43.0,43.0,41.0,41,43,-1.0,-1.0,1.0,United States
UZB,140.0,136.5,132.5,141.5,140,136,3.5,7.5,-1.5,Uzbekistan
VAT,56.5,58.0,54.0,60.0,56,58,-1.5,2.5,-3.5,Vatican
VCT,56.5,56.0,58.0,55.0,56,56,0.5,-1.5,1.5,Saint Vincent and the Grenadines
VEN,90.5,88.0,85.0,88.0,90,88,2.5,5.5,2.5,Venezuela
VNM,159.5,149.5,151.0,157.5,159,149,10.0,8.5,2.0,Vietnam
VUT,109.5,111.0,113.0,108.0,109,111,-1.5,-3.5,1.5,Vanuatu
WSM,78.0,80.0,81.0,79.0,78,80,-2.0,-3.0,-1.0,Samoa
XKX,109.5,97.0,99.0,103.5,109,97,12.5,10.5,6.0,Kosovo
YEM,193.5,194.0,193.0,194.0,193,194,-0.5,0.5,-0.5,Yemen
ZAF,97.0,99.0,98.0,96.0,97,99,-2.0,-1.0,1.0,South Africa
ZMB,136.5,138.0,137.0,136.0,135,138,-1.5,-0.5,0.5,Zambia
ZWE,142.5,140.0,141.0,141.5,141,140,2.5,1.5,1.0,Zimbabwe
