iso3,wb_name,region,income_group,capital
SVK,Slovak Republic,Europe & Central Asia,High income,Bratislava
SVN,Slovenia,Europe & Central Asia,High income,Ljubljana
SWE,Sweden,Europe & Central Asia,High income,Stockholm
SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,Mbabane
SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,High income,Philipsburg
SYC,Seychelles,Sub-Saharan Africa ,High income,Victoria
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Damascus
TCA,Turks and Caicos Islands,Latin America & Caribbean ,High income,Grand Turk
TCD,Chad,Sub-Saharan Africa ,Low income,N'Djamena
TGO,Togo,Sub-Saharan Africa ,Lower middle income,Lome
THA,Thailand,East Asia & Pacific,Upper middle income,Bangkok
TJK,Tajikistan,Europe & Central Asia,Lower middle income,Dushanbe
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,Ashgabat
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Dili
TON,Tonga,East Asia & Pacific,Upper middle income,Nuku'alofa
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,Port-of-Spain
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Tunis
TUR,Turkiye,Europe & Central Asia,Upper middle income,Ankara
TUV,Tuvalu,East Asia & Pacific,Upper middle income,Funafuti
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,Dodoma
UGA,Uganda,Sub-Saharan Africa ,Low income,Kampala
UKR,Ukraine,Europe & Central Asia,Upper middle income,Kiev
URY,Uruguay,Latin America & Caribbean ,High income,Montevideo
USA,United States,North America,High income,Washington D.C.
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Tashkent
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,Kingstown
VEN,"Venezuela, RB",Latin America & Caribbean ,Lower middle income,Caracas
VGB,British Virgin Islands,Latin America & Caribbean ,High income,Road Town
VIR,Virgin Islands (U.S.),Latin America & Caribbean ,High income,Charlotte Amalie
VNM,Viet Nam,East Asia & Pacific,Upper middle income,Hanoi
VUT,Vanuatu,East Asia & Pacific,Lower middle income,Port-Vila
WSM,Samoa,East Asia & Pacific,Upper middle income,Apia
XKX,Kosovo,Europe & Central Asia,Upper middle income,Pristina
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,Sana'a
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,Pretoria
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,Lusaka
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Harare
