passport,original_score,adjusted_score,original_rank,adjusted_rank,rank_change,adjusted_pct_of_max
CAF,48,39.3,168,171,-3,19.7
EGY,48,39.2,168,172,-4,19.7
TKM,46,38.7,173,173,0,19.4
DJI,45,38.3,176,174,2,19.2
BDI,47,38.3,170,174,-4,19.2
LBR,47,38.0,170,176,-6,19.1
COG,46,37.2,173,177,-4,18.7
LBN,43,36.6,179,178,1,18.4
CMR,46,36.3,173,179,-6,18.2
MMR,41,36.0,181,180,1,18.1
SSD,41,34.5,181,181,0,17.3
ETH,42,34.5,180,181,-1,17.3
COD,41,33.9,181,183,-2,17.0
IRN,39,33.2,186,184,2,16.7
LBY,40,33.0,185,185,0,16.6
LKA,39,31.5,186,186,0,15.8
SDN,39,31.4,186,187,-1,15.8
NGA,41,30.2,181,188,-7,15.2
NPL,36,30.0,190,189,1,15.1
PRK,37,29.9,189,190,-1,15.0
ERI,36,29.7,190,191,-1,14.9
PSE,35,29.3,192,192,0,14.7
YEM,33,26.2,193,193,0,13.2
BGD,33,26.2,193,193,0,13.2
SOM,32,25.4,195,195,0,12.8
IRQ,29,23.4,196,196,0,11.8
PAK,29,22.7,196,197,-1,11.4
SYR,26,20.0,198,198,0,10.1
AFG,22,16.5,199,199,0,8.3
